Address;Postcode
20 Kenilworth Drive, Oadby;LE2 5HS
34 Briar Walk, Oadby;LE2 5UF
49 Highcroft Avenue, Oadby;LE2 5UH
96 London Road, Oadby;LE2 5DJ
5 Chestnut Avenue, Oadby;LE2 5JH
1 High Leys Drive, Oadby;LE2 5TL
23 Chapel Street, Oadby;LE2 5AD
4 Broxfield Close, Oadby;LE2 5WJ
21 Drury Lane, Oadby;LE2 5FD
4 Southfields Avenue, Oadby;LE2 5GL
37 The Oval, Oadby;LE2 5JB
21 Kew Drive, Oadby;LE2 5TS
2 Brooksby Close, Oadby;LE2 5AB
1 Foxhunter Drive, Oadby;LE2 5FG
15 St James Close, Oadby;LE2 5UR
28 Kenilworth Drive, Oadby;LE2 5HS
3 Barnet Close, Oadby;LE2 5WA
2 Orchard Close, Oadby;LE2 5PL
3B Chapel Street, Oadby;LE2 5AD
15 King Street, Oadby;LE2 5DF
9 Milton Gardens, Oadby;LE2 5SA
29 Coombe Rise, Oadby;LE2 5TJ
8 Tilton Drive, Oadby;LE2 5WW
3 The Morwoods, Oadby;LE2 5ED
8 Drury Lane, Oadby;LE2 5FD
36 Seagrave Drive, Oadby;LE2 5GJ
16 Garden Close, Oadby;LE2 5PD
115 Foxhunter Drive, Oadby;LE2 5FH
Flat 9, 80 The Parade, Oadby;LE2 5BF
25 Rowleys Court, Sandhurst Street, Oadby;LE2 5AS
78 Foxhunter Drive, Oadby;LE2 5FF
39 Wigston Road, Oadby;LE2 5QF
1 Rowleys Court, Sandhurst Street, Oadby;LE2 5AS
3 Meadow View, London Road, Oadby;LE2 5EA
39 Hermitage Court, Honeywell Close, Oadby;LE2 5QQ
8 Glen Way, Oadby;LE2 5YE
19 Lowcroft Drive, Oadby;LE2 5UD
4 Saffron Way, Leicester;LE2 6UP
150 Knighton Fields Road East, Leicester;LE2 6DR
20 Wheatsheaf Way, Leicester;LE2 6EQ
Apartment 60, 21 Wheatsheaf Court, Leicester;LE2 6EY
43 Skelton Drive, Leicester;LE2 6JQ
10 Trenant Road, Leicester;LE2 6UA
33 Shrewsbury Avenue, Leicester;LE2 6JN
49 Heather Road, Leicester;LE2 6DF
49 Copinger Road, Leicester;LE2 6LF
85 Knighton Fields Road West, Leicester;LE2 6LH
1 Heather Road, Leicester;LE2 6DF
568 Welford Road, Leicester;LE2 6EP
142 Knighton Fields Road East, Leicester;LE2 6DR
229 Saffron Lane, Leicester;LE2 6UD
63 Wordsworth Road, Leicester;LE2 6ED
251 Welford Road, Leicester;LE2 6BH
22 Wheatsheaf Way, Leicester;LE2 6EQ
24 Wheatsheaf Way, Leicester;LE2 6EQ
Apartment 57, 18 Wheatsheaf Court, Leicester;LE2 6EX
31 Stonesby Avenue, Leicester;LE2 6TX
36 Deancourt Road, Leicester;LE2 6GH
20 Stonesby Avenue, Leicester;LE2 6SN
711 Saffron Lane, Leicester;LE2 6TF
22 Knighton Fields Road East, Leicester;LE2 6DP
328 Knighton Lane East, Leicester;LE2 6FS
22 Baldwin Road, Leicester;LE2 6HA
3 Ramsbury Road, Leicester;LE2 6HR
23 Muston Gardens, Leicester;LE2 6FX
26 Brookfield Rise, Leicester;LE2 6RB
69 Wordsworth Road, Leicester;LE2 6ED
Apartment 13, 40 Wheatsheaf Way, Leicester;LE2 6EQ
62 Bloomfield Road, Leicester;LE2 6LA
1 Westbury Road, Leicester;LE2 6AG
100 Knighton Fields Road West, Leicester;LE2 6LG
26 Cairnsford Road, Leicester;LE2 6GF
18 Bluebell Drive, Leicester;LE2 6TZ
Apartment 39, 21 Wheatsheaf Court, Leicester;LE2 6EY
2 Asquith Boulevard, Leicester;LE2 6FA
29 Aberdale Road, Leicester;LE2 6GD
80 Shackerdale Road, Leicester;LE2 6HS
114 Northdene Road, Leicester;LE2 6JG
49 Stonesby Avenue, Leicester;LE2 6TX
129 Southfields Drive, Leicester;LE2 6QT
58 Bloomfield Road, Leicester;LE2 6LA
28 Heather Road, Leicester;LE2 6DD
35 Northdene Road, Leicester;LE2 6FJ
265 Pendlebury Drive, Leicester;LE2 6GU
19 Westbury Road, Leicester;LE2 6AG
162 Knighton Fields Road East, Leicester;LE2 6DR
18 Wheatsheaf Way, Leicester;LE2 6EQ
146 Knighton Fields Road East, Leicester;LE2 6DR
41 Baldwin Road, Leicester;LE2 6HB
81 Shackerdale Road, Leicester;LE2 6HT
272 Asquith Boulevard, Leicester;LE2 6FB
579 Welford Road, Leicester;LE2 6FP
51 Hylion Road, Leicester;LE2 6GQ
18 Heathcott Road, Leicester;LE2 6LL
143 Knighton Fields Road East, Leicester;LE2 6DR
107 Wordsworth Road, Leicester;LE2 6ED
125 Wordsworth Road, Leicester;LE2 6ED
2 Deancourt Road, Leicester;LE2 6GH
253 Welford Road, Leicester;LE2 6BH
21 Elston Fields, Leicester;LE2 6NH
22 Schoolgate, Leicester;LE2 6SL
31 Cairnsford Road, Leicester;LE2 6GG
